code,stop_id,stop_lat,stop_lon,stop_name
MTD3534,PKLN:1,40.131574,-88.288138,Parkland College (Main Stop)
MTD2353,BRADCLTN:6,40.12745,-88.286002,Bradley & Clayton (SE Far Side)
MTD6052,BRADCFD:3,40.127392,-88.280433,Bradley & Country Fair Dr. (SW Corner)
MTD0217,PKLNCTBRAD:3,40.127387,-88.278858,Parkland Ct. & Bradley (SW Corner)
MTD3675,BRADMATS:3,40.127348,-88.27729,Bradley & Mattis (SW Corner)
MTD4446,WESTGATE:1,40.12734,-88.27471,Westgate Apts. (South Side)
MTD6014,BRADWMBG:3,40.127292,-88.27087,Bradley & Williamsburg (South Side)
MTD4207,DSC:1,40.127262,-88.268103,Development Services Center (South)
MTD2622,BRADJAS:3,40.127218,-88.2654,Bradley & James (SW Corner)
MTD7503,BRADMCNLY:3,40.127192,-88.262997,Bradley & McKinley (SW Corner)
MTD6422,BRADWLS:3,40.127157,-88.26053,Bradley & Willis (SW Corner)
MTD3451,BRADPSPCT:3,40.127095,-88.258262,Bradley & Prospect (SW Corner)
MTD6232,BRADHGN:3,40.127122,-88.25495,Bradley & Hagan (South Side)
MTD3421,HRISBRAD:3,40.127123,-88.253377,Harris & Bradley (SW Corner)
MTD3665,BRADELM:3,40.127127,-88.250373,Bradley & Elm (SW Corner)
MTD3254,BRADSTE:3,40.127123,-88.247188,Bradley & State (SW Corner)
MTD0235,STEBRD:4,40.126547,-88.246947,State & Beardsley (NW Corner)
MTD6320,STETRMNT:4,40.124687,-88.246933,State & Tremont (NW Corner)
MTD2315,STEVIN:4,40.122227,-88.24693,State & Vine (NW Corner)
MTD2754,STECLMBA:4,40.121272,-88.246905,State & Columbia (NW Corner)
MTD3501,STEWASH:4,40.120314,-88.246914,State & Washington (NW Corner)
MTD4150,STEHIL:4,40.119311,-88.246897,State & Hill (NW Corner)
MTD6432,CHCHSTE:6,40.11819,-88.246493,Church & State (SE Far Side)
MTD7533,CHCHNEIL:3,40.118247,-88.24373,Church & Neil (SW Corner)
MTD3630,MNWLNT:3,40.11777,-88.242242,Main & Walnut (SW Corner)
