stop_id,stop_name,code,distance,stop_points/0/code,stop_points/0/stop_id,stop_points/0/stop_lat,stop_points/0/stop_lon,stop_points/0/stop_name,stop_points/1/code,stop_points/1/stop_id,stop_points/1/stop_lat,stop_points/1/stop_lon,stop_points/1/stop_name,stop_points/2/code,stop_points/2/stop_id,stop_points/2/stop_lat,stop_points/2/stop_lon,stop_points/2/stop_name,stop_points/3/code,stop_points/3/stop_id,stop_points/3/stop_lat,stop_points/3/stop_lon,stop_points/3/stop_name,stop_points/4/code,stop_points/4/stop_id,stop_points/4/stop_lat,stop_points/4/stop_lon,stop_points/4/stop_name,stop_points/5/code,stop_points/5/stop_id,stop_points/5/stop_lat,stop_points/5/stop_lon,stop_points/5/stop_name
150DALE,U.S. 150 and Dale,MTD5437,35694.87,MTD5437,150DALE:1,40.114512,-88.180673,U.S. 150 & Dale (NE Corner),MTD5437,150DALE:3,40.114503,-88.180848,U.S. 150 & Dale (South Side),,,,,,,,,,,,,,,,,,,,
150DOD,U.S. 150 and Dodson Dr.,MTD2634,37820.43,MTD2634,150DOD:5,40.114158,-88.173105,U.S. 150 & Dodson (NE Far Side),,,,,,,,,,,,,,,,,,,,,,,,,
150UNI,U.S. 150 and University,MTD6741,34835.77,MTD6741,150UNI:4,40.116542,-88.18384,U.S. 150 & University (NW Corner),MTD6741,150UNI:8,40.116033,-88.184178,U.S. 150 & University (NW Far Side),,,,,,,,,,,,,,,,,,,,
1STARY,First and Armory,MTD6236,19526.5,MTD6236,1STARY:4,40.105503,-88.238705,First & Armory (NW Corner),MTD6236,1STARY:5,40.10558,-88.238598,First & Armory (NE Far Side),,,,,,,,,,,,,,,,,,,,
1STDAN,First and Daniel,MTD4361,19503.32,MTD4361,1STDAN:1,40.107958,-88.23854,First & Daniel (NE Corner),MTD4361,1STDAN:4,40.108021,-88.238745,First & Daniel (NW Corner),MTD4361,1STDAN:5,40.108166,-88.238626,First & Daniel (NE Far Side),MTD4361,1STDAN:6,40.107878,-88.238347,First & Daniel (SE Far Side),,,,,,,,,,
1STGRG,First and Gregory,MTD5747,19548.68,MTD5747,1STGRG:1,40.10415,-88.238512,First & Gregory (NE Corner),MTD5747,1STGRG:2,40.103915,-88.238592,First & Gregory (SE Corner),MTD5747,1STGRG:4,40.104208,-88.238682,First & Gregory (NW Corner),,,,,,,,,,,,,,,
1STGTY,First and Gerty,MTD4241,21115.57,MTD4241,1STGTY:2,40.087085,-88.238135,First & Gerty (SE Corner),MTD4241,1STGTY:4,40.087378,-88.238263,First & Gerty (NW Corner),MTD4241,1STGTY:7,40.086967,-88.238265,First & Gerty (SW Far Side),,,,,,,,,,,,,,,
1STHZLWD,First and Hazelwood,MTD0342,20599.57,MTD0342,1STHZLWD:2,40.090728,-88.238153,First & Hazelwood (SE Corner),MTD0342,1STHZLWD:4,40.090917,-88.23829,First & Hazelwood (NW Corner),,,,,,,,,,,,,,,,,,,,
1STIHOTEL,First at iHotel,MTD1593,20386.46,MTD1593,1STIHOTEL:1,40.092968,-88.238352,First at iHotel,MTD1593,1STIHOTEL:2,40.093201,-88.238256,First at iHotel,,,,,,,,,,,,,,,,,,,,
1STLAKEPKN,First and Lake Park North,MTD5117,25245.82,MTD5117,1STLAKEPKN:2,40.064809,-88.238284,First & Lake Park North (East Side),MTD5117,1STLAKEPKN:4,40.065039,-88.238444,First & Lake Park North (NW Corner),,,,,,,,,,,,,,,,,,,,
