route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BRONZE,BZ1 SCHMF,[@7.0.41201636@][3][1243611110703]/4__BZ1_SCHMF,Lincoln Square,0,BZ1 SCHMF,8E
ILLINI LIMITED SATURDAY,I1  UISA,[@6.0.14330204@][2][1622384445965]/52__I1__UISA,Transit Plaza,1,I1  UISA,ILLINI LIMITED WEEKEND 845
ILLINI LIMITED SUNDAY,I2 NONUISU,[@6.0.14330187@][2][1622253008700]/44__I2_NONUISU,Transit Plaza,1,I2 NONUISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
ILLINI LIMITED SATURDAY,I1  UISA,[@6.0.14330204@][1][1622384291845]/4__I1__UISA,Lincoln & Killarney,0,I1  UISA,[@6.0.14330204@]6
TEAL,T3 NON UI MF,[@7.0.41893871@][4][1243540851671]/6__T3_NON_UI_MF,Illinois Terminal,1,T3 NON UI MF,12W TEAL 12
TEAL SUNDAY,T1 NONUISU,[@124.0.92229742@][1484323714302]/113__T1_NONUISU,Illinois Terminal,1,T1 NONUISU,[@124.0.92229742@]TEAL WEEKEND 16
GOLD,G5 MF,[@7.0.41203042@][4][1246653985531]/25__G5_MF,Mattis & Devonshire,1,G5 MF,[@15.0.63191692@]369
NAVY,N1 MF,[@124.0.103534744@][31][1510337405478]/15__N1_MF,Illinois Terminal,0,N1 MF,[@124.0.103534744@]2
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151942711]/50__I1_NONUIMF,Transit Plaza,1,I1 NONUIMF,[@6.0.14327389@]15
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/40__SV1_NONUISU,Lincoln Square,0,SV1 NONUISU,[@124.0.92241454@]4
ORANGEHOPPER,O3 MF,[@14.0.52435578@][3][1275675740468]/36__O3_MF,University & Cottage Grove,0,O3 MF,[@15.0.68513410@]21
ILLINI EVENING SATURDAY,I6 UISA,[@124.0.92260187@][1484328831455]/111__I6_UISA,PAR,1,I6 UISA,[@124.0.92260187@]220S ILLINI 20
LIME SATURDAY,LM1SA,[@124.0.94415201@][11][1496415327969]/10__LM1SA,Kirby & Duncan,0,LM1SA,[@15.0.73009433@]51
ILLINI,I5 UIMTH,[@7.0.41200832@][1][1238430123625]/26__I5_UIMTH,Lincoln & Killarney,0,I5 UIMTH,22N ILLINI 10
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/169__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 1
